,0,1,2,3,4,5
77,0.0,1.5,1.25,108266400.0,119586535.36361352,227852935.36361352
78,0.0,1.5,1.5,118108800.0,119526455.29799461,237635255.2979946
79,0.0,1.5,1.75,127951200.0,119519924.28838423,247471124.28838423
80,0.0,1.5,2.0,137793600.0,119519924.28838423,257313524.28838423
81,0.0,1.5,2.25,147636000.0,119519924.28838423,267155924.28838423
82,0.0,1.5,2.5,157478400.0,119519924.28838423,276998324.2883842
83,0.0,1.5,2.75,167320800.0,119519924.28838423,286840724.2883842
84,0.0,1.75,0.0,68896800.0,121881577.89262886,190778377.89262885
85,0.0,1.75,0.25,78739200.0,120570203.12550895,199309403.12550896
86,0.0,1.75,0.5,88581600.0,120040377.17488387,208621977.17488387
87,0.0,1.75,0.75,98424000.0,119851829.46641499,218275829.466415
