,water_level,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
31,1.565656566,2204020.09,0,443111.6588,0,6343599.308,0,128820.4584,2754530.534,1925696.61,97133.11358,26098.24171,611279.6442,826203.1484,2746477.13,817496.7068,853362.653,5727495.24,33015823.19
32,1.616161616,2283444.916,0,460861.0026,0,6497757.55,0,233434.0152,2886013.341,1955440.504,101023.8914,27143.6366,635765.1489,846325.7822,2802407.696,850242.4715,874146.7715,5977877.176,33666393.68
33,1.666666667,2362869.741,0,478610.3465,0,6651915.792,0,338047.572,3012150.204,1986216.148,104914.6693,28189.0315,660250.6535,866448.416,2858338.261,882988.2362,894930.8901,6228298.274,34316964.16
34,1.717171717,2442294.567,0,496359.6903,0,6806074.034,0,442661.1288,3120958.596,2017825.647,108805.4471,29234.42639,684736.1582,886571.0498,2914268.827,915734.001,915715.0086,6477135.352,34967534.65
35,1.767676768,2521719.393,0,514109.0341,0,6962081.91,0,547274.6857,3229766.989,2049435.146,112696.225,30279.82128,709221.6628,906693.6836,2970199.392,948479.7657,936499.1272,6693178.052,35618105.13
36,1.818181818,2601144.218,0,531858.378,0,7118389.103,0,650928.6624,3338575.381,2081044.645,116587.0029,31325.21618,750284.2908,926816.3175,3026129.958,981225.5304,957283.2457,6893011.349,36268675.62
37,1.868686869,2706779.611,0,556616.5827,0,8226252.87,0,747639.629,3481396.358,2131079.891,122014.1711,32783.41661,1043378.061,946938.9513,3082060.523,1026901.943,978067.3643,7092844.646,37201924.12
38,1.919191919,2827679.157,0,1162451.064,0,9616709.258,0,830904.8826,3633271.739,2186020.209,127850.3379,34351.50895,1339045.747,3454480.787,3137991.089,1076020.59,998851.4828,7413606.474,38525453.2
39,1.96969697,2953340.793,0,2082739.405,0,11089877.71,7976.930898,919599.5835,3785147.12,2241926.906,133686.5047,35919.60129,1757577.975,7927461.232,3193921.654,1125139.237,1019635.601,7741426.081,39935673.09
40,2.02020202,3079002.429,0,3003027.746,0,12613135.49,18788.044,1008294.284,3937022.502,2298732.828,139522.6714,3911464.062,2219763.646,12400441.68,3249852.22,1174257.884,1040419.72,8074834.754,41698281.02
41,2.070707071,3204664.065,0,3941200.861,0,14149647.43,29599.1571,1099687.577,4473203.803,2355538.751,145358.8382,12146955.56,2681949.318,16873422.12,3305782.785,1223376.531,1061203.838,8409192.926,43619986.24
42,2.121212121,3330325.701,0,4948891.98,0,15710740.63,40410.2702,14373484.22,5262066.264,2412344.674,151616.8309,20621378.84,3139632.657,21373284.96,3361713.351,1272495.178,1081987.957,8743551.097,45559467.19
43,2.171717172,3481034.996,0,6338368.966,0,16897552.13,51221.3833,29765285.12,6486894.129,2472524.999,170524.2101,30028531.82,3455694.521,26034203.71,3417643.916,1333970.767,1108000.806,9077909.269,47475917.64
44,2.222222222,3651070.051,0,7630829.164,0,17971854.11,62032.4964,45128321.01,7947255.24,2541043.318,189908.7544,39435813,3774759.287,30696767.68,3473574.482,1403974.246,1135712.964,9607012.811,49438059.33
45,2.272727273,3901348.976,0,8858049.884,0,19037210.65,66933.96878,60488963.58,9407616.351,3274258.634,219386.1277,48843094.19,4002800.913,35502346.19,3529505.047,1538979.276,1163425.122,10205644.32,51408193.92
46,2.323232323,4279097.415,0,10085270.6,0,20102535.44,69336.43835,75850021.59,10867977.46,4605075.168,298762.1495,55461684.5,4192351.69,40718495.28,3585435.613,1673984.305,1191137.28,10800143.93,53255590.39
47,2.373737374,4826956.24,0,11305757.23,0,21169511.91,71738.90793,91217724.56,12168794.78,5935891.703,399450.7781,58464803.03,4381902.468,46023559.12,3641366.178,1820645.279,1218849.438,11385453.82,55097219.29
48,2.424242424,5407823.75,49961.50751,12498586.51,140861.9643,22260540.72,74141.37751,96753214.41,13477323.17,7266708.237,559166.8256,61288021.04,4571453.246,51333128.28,3697296.744,1996822.055,1451919.979,11979624.59,57074163.55
49,2.474747475,6313566.378,130358.3002,13492345.81,420219.2406,23188169.48,76543.84709,100219791.2,14736461.73,8616057.196,715020.2959,63261978.61,4941921.527,56555858.82,3793479.419,2202919.228,1886898.632,12574877.49,59502438.52
50,2.525252525,7367913.276,225061.4323,14589333.42,699576.5169,24067267.48,78946.31666,103686368.1,15950640.06,9972193.825,876835.5934,65286946.43,5423700.091,61803253.63,3905340.55,2541587.453,2321877.285,13249466.51,62089230.98
51,2.575757576,8769257.574,334904.4108,15756166.2,1320978.833,24935529.63,80546.64312,107152944.9,17374477.43,10878764.08,1050019.472,67311914.25,15367665.44,67119873.89,4017201.681,3011439.07,2756855.938,14045737.49,64693010.38
52,2.626262626,10295580.48,448455.5622,17007995.02,2032547.539,25811758.96,81747.87791,110619521.7,18820848.23,11311227.61,1227136.386,68970555.07,30019369.1,72199876.9,4129062.812,4243016.137,3191834.591,14902190.5,67339570.03
53,2.676767677,11740058.17,676287.8829,18527790.04,2911364.299,26695330.56,82949.1127,114085509.4,20216844.67,11743691.14,1450826.602,70549652.53,44671072.77,77284358.26,4240923.943,5690162.599,3662490.214,15798707.74,70010932.63
54,2.727272727,13196701.99,875243.4857,20210968.82,3790181.059,27579669.27,84150.34749,116203137.4,21558371.88,12176154.67,1736634.762,72267156.9,59322776.43,82712155.65,4372207.295,7132755.182,4103840.007,16692790.37,72722296.49
55,2.777777778,14526770.84,1053240.945,22500647.31,4668997.819,28528453.89,85351.58228,117965651.3,22801704.01,12748633.93,2018808.684,73978575.18,73875161.35,88206129.46,4490336.108,8574144.996,4631333.099,17586464.98,75283984.09
56,2.828282828,15829230.3,1225235.635,24676734.92,5547814.579,29635054.33,86552.81707,119726422,24070804.04,13364956,2322022.827,75670942.96,88423289.24,93738434.33,4599645.79,10015534.81,5224569.877,18477050.22,77782932.67
57,2.878787879,16977745.12,1389604.556,26836091.69,6426631.338,30859267.24,88514.10371,121644439.9,25445272.46,13922964.67,2638773.557,77363310.74,96250089.35,99202802.79,4708955.471,11395005.36,5817806.655,19245521.16,80285449.15
58,2.929292929,17994601.86,1554121.144,29111046.43,7780328.845,32089662.64,90916.57329,123605411.9,26911846.85,14403814.83,2955752.826,79389948.12,100175398.9,104669101.1,4818265.153,12336806.24,6950482.292,19976953.9,82863574.66
59,2.97979798,20299500.02,1693757.943,31295146.36,9288716.908,33322681.16,93319.04286,125566383.9,28726577.82,14884665,3236380.287,81741280.02,104100708.5,110086590,4927574.834,13235182.99,8322215.862,20687711.21,85513508.09
60,3.03030303,23724948.18,1892887.561,33585151.28,10857985.79,34553835.38,95721.51244,128812883.4,30687574.07,15365515.16,3436665.129,84001297.81,108026018,115283395.2,5022470.955,15071426.96,9800963.571,21395785.72,88261148.38
61,3.080808081,27201400.15,2091506.519,35802457.59,12456493.25,35786134.35,98123.98202,132479795.2,32803335.52,15902483.31,3650524.428,86321615.82,112007125.2,120407659.1,5130180.569,16948248.12,11201234.68,22104243.44,91233452.96
62,3.131313131,30724011.38,2292116.655,38006199.7,14055000.71,36955131.33,100526.4516,136177534.4,34938371.52,16497103.12,3871330.252,88734354.95,115996465.4,125518952.3,5247689.219,19075094.53,12557676.66,22790161.2,94328653.66
63,3.181818182,34221736.4,2600140.399,40172297.64,15653508.17,38067195.43,102928.9212,139878142.9,37072288.16,17203344.78,4097201.045,91147094.08,119985805.6,130603069.5,5365197.868,21389473.74,13974586.42,23475106,97426890.65
64,3.232323232,37809246.33,3086698.833,42314677.39,16992621.74,39191723.79,105331.3908,143660321.5,39194604.94,18016368.42,4382495.701,93583635.78,123975145.8,135617875.1,5482706.518,23726669.54,15042519.89,24227244.99,100505449.2
65,3.282828283,41207449.31,3546977.425,44586094.44,18313817.28,40315918.83,107733.8603,147459327.3,41148505.15,18852174.24,4676403.894,96114343.89,127964486,140609294.3,5600215.167,26085253,15940341.7,24979406.66,103678472.4
66,3.333333333,44221782.86,3948951.566,46953954.6,19635012.82,41440241.09,110136.3299,151261189,43487535.28,19765958.35,4957670.275,99125525.65,131953826.3,145522580.5,5715763.681,28020643.14,16842804.88,25734357.3,106879286.2
67,3.383838384,47364465.53,4380551.117,49233059.85,20956208.36,42608548.31,112538.7995,155070476.4,45804222.02,20635718.75,5247067.128,103360864.3,135943166.5,150440753.8,5830448.571,29942158.23,17777793.8,26488591.18,110205690.1
68,3.434343434,51329406.25,4825203.173,51550127.55,22368493.67,43796467.33,114941.2691,158909376.1,48270284.27,21554041.7,5532820.956,107532841.1,139932506.7,155349393.6,5945133.462,32091814.55,18715453.06,27349558.24,113585435.9
69,3.484848485,56100221.87,5198585.101,53914131.16,23784169.11,44972842.86,117343.7386,162747860.9,50763261.86,22618959.03,5815648.23,111704817.8,143921846.9,160292950.9,6059818.352,34457761.84,19670313.86,28227774.33,117002150.5
70,3.535353535,61179111.83,5679619.694,56472995.87,25290814.67,46149218.39,119746.2082,166576841.1,53248098.48,23693098.54,6068083.08,115876794.5,147911187.1,165340499.3,6174503.242,37083226.31,20593886.37,29039191.23,120449158
71,3.585858586,66166408.5,6245426.673,58956214.15,26898841.68,47327411.78,122148.6778,170410100.3,55699865.11,25780280.93,6324474.958,119874968.2,151900527.3,170486181.5,6289188.132,39579468.19,21521585.63,29835810.53,124032885.4
72,3.636363636,71410893.23,6872518.807,61293241.51,28508719.93,48506242.38,124551.1474,174247159.9,58123060.42,28131031.15,6601127.195,123428838.9,155889867.5,175661676.7,6405734.214,42154805.79,22449884.35,30632429.82,127608618.5
73,3.686868687,77033698.19,7496178.384,63576627.87,30118598.17,49729448.22,126953.617,178086231.2,60565149.34,31024096.91,6878361.023,125770304.3,159930518,180864371.5,6523242.863,44868811.79,23334454.04,31428882.34,131183186.3
74,3.737373737,82377415.93,8120008.799,65907279.69,31919525.72,51106338.09,129356.0865,181956786.7,63000345.8,35284747.91,7156315.45,128109734.7,163983888.9,186067254.9,6640751.513,47487665.71,24197574.72,32224797.5,134774867.2
75,3.787878788,88459309.23,8748445.877,68282358.68,33767631.15,52470131.15,131758.5561,185826959.3,65397594.53,39587461.12,7432528.372,130449165.2,168037259.7,191245768.1,6758260.162,49961774.48,25060695.41,33033644.13,138355328.4
