,0,1,2,3
43,2.33,140248446.723504,66144794.37215064,206393241.09565464
44,2.34,143500039.02913314,63517719.94894391,207017758.97807705
45,2.35,146976733.19394726,61816944.42522884,208793677.6191761
46,2.36,150519997.19394714,60348260.21943699,210868257.41338414
47,2.37,154063261.19394726,58860417.31237096,212923678.5063182
48,2.38,157633760.97988197,57188554.95536442,214822315.9352464
49,2.3899999999999997,161314591.91925228,55456602.62962783,216771194.5488801
50,2.4,165108701.12681153,53834357.79645387,218943058.9232654
51,2.41,168960371.85882366,52452211.14923289,221412583.00805655
52,2.42,172995772.4235828,50748074.26395894,223743846.68754172
53,2.4299999999999997,177172560.8507375,49425794.36708624,226598355.21782374
54,2.44,181404792.85073757,48352559.44769257,229757352.29843014
55,2.45,185661777.91095728,47146868.39823326,232808646.30919054
56,2.46,189948431.3357988,45963084.295566455,235911515.63136524
57,2.4699999999999998,194279087.33579868,44842191.169967905,239121278.50576657
58,2.48,198609743.3357988,43696167.871730015,242305911.20752883
59,2.4899999999999998,202940399.33579868,42867155.71024714,245807555.0460458
60,2.5,207315229.92658204,41968609.534121074,249283839.4607031
61,2.51,211695097.92658192,41158322.39643029,252853420.3230122
62,2.52,216109607.02108923,40281059.62160767,256390666.6426969
63,2.53,220564965.45153952,39340219.84155728,259905185.29309678
64,2.54,225156571.0736292,38365853.149985075,263522424.22361428
65,2.55,229819413.5656883,37407296.39432009,267226709.9600084
66,2.56,234610332.38417882,36309879.46154137,270920211.8457202
67,2.57,239562751.13841233,35248990.75614724,274811741.89455956
68,2.58,244582375.13841242,34379063.479722895,278961438.61813533
69,2.59,249673515.67525673,33241254.975269936,282914770.65052664
70,2.6,254840775.67525685,32310693.13288467,287151468.8081415
71,2.61,260008035.67525673,31361145.53197743,291369181.20723414
72,2.62,265204196.34744245,30316897.648281172,295521093.9957236
73,2.63,270482287.9623119,29180148.529381547,299662436.4916935
74,2.6399999999999997,275802157.18431705,28113297.00950885,303915454.1938259
75,2.65,281166265.1843171,27336678.799011596,308502943.9833287
76,2.66,286530373.1843173,26531250.882325817,313061624.0666431
77,2.67,291917635.3466568,25728706.83936201,317646342.1860188
78,2.6799999999999997,297330955.3466566,25129907.54847402,322460862.89513063
79,2.69,302744275.3466568,24526464.289043717,327270739.6357005
80,2.7,308157595.3466569,23918315.386458054,332075910.73311496
81,2.71,313580462.8142196,23261115.392019425,336841578.20623904
82,2.7199999999999998,319086246.17311907,22559614.43726474,341645860.6103838
83,2.73,324647202.1731192,21919654.400272667,346566856.57339185
84,2.7399999999999998,330208158.17311907,21271450.45562184,351479608.6287409
85,2.75,335769114.1731192,20608745.011039846,356377859.18415904
86,2.76,341330070.17311907,19926035.06608841,361256105.2392075
87,2.77,346891026.1731192,19206663.204176668,366097689.37729585
88,2.78,352451982.17311907,18600231.0754423,371052213.2485614
89,2.79,358012938.1731192,18100995.185797814,376113933.358917
90,2.8,363585643.7891003,17538891.270152435,381124535.05925274
91,2.81,369195811.7891004,17010366.735137712,386206178.5242381
92,2.82,374805979.7891003,16460520.184299538,391266499.9733998
93,2.83,380416147.7891004,15895511.671318118,396311659.4604185
94,2.84,386026315.7891003,15561927.709168397,401588243.49826866
95,2.85,391636483.7891004,15229108.563706825,406865592.3528072
96,2.86,397246651.7891003,14897937.452087395,412144589.2411877
97,2.87,402874568.7563412,14545634.86480971,417420203.6211509
98,2.88,408533948.7563411,14217796.015154274,422751744.7714954
99,2.8899999999999997,414237756.267277,13860397.037372734,428098153.3046497
100,2.9,419981643.34989476,13512611.270882968,433494254.6207777
101,2.91,425739447.3498949,13189580.314041737,438929027.6639366
102,2.92,431497251.34989476,12863099.752389709,444360351.1022845
103,2.9299999999999997,437255055.34989464,12532990.685738828,449788046.03563344
104,2.94,443012859.34989476,12199049.782421554,455211909.1323163
105,2.95,448770663.3498949,11861043.959374191,460631707.3092691
106,2.96,454528467.34989476,11518703.50145053,466047170.8513453
107,2.9699999999999998,460286271.34989464,11171713.073058113,471457984.4229528
108,2.98,466044075.34989476,10819699.895768836,476863775.2456636
109,2.99,471829272.7471021,10442415.77734353,482271688.5244456
