,0
526,120
527,50
528,45
529,105
530,70
531,95
532,45
533,50
534,90
535,45
536,70
537,105
538,70
539,55
540,50
541,40
542,40
543,55
544,105
545,95
546,75
547,40
548,50
549,65
550,50
551,145
552,70
553,70
554,35
555,45
556,80
557,120
558,105
559,100
560,115
561,90
562,35
563,130
564,90
565,35
566,130
567,35
568,110
569,80
570,70
571,95
572,50
573,40
574,40
575,50
576,90
577,80
578,50
579,140
580,60
581,80
582,80
583,135
584,50
585,60
586,70
587,110
588,135
589,60
590,45
591,60
592,50
593,35
594,40
595,115
596,85
597,65
598,40
599,55
600,50
601,45
602,55
603,55
604,130
605,75
606,140
607,60
608,65
609,55
610,55
611,125
612,40
613,60
614,50
615,60
616,150
617,85
618,45
619,95
620,45
621,50
622,80
623,120
624,40
625,140
626,55
627,35
628,120
629,120
630,95
631,140
632,65
633,40
634,110
635,80
636,70
637,50
638,85
639,80
640,75
641,35
642,70
643,45
644,90
645,45
646,50
647,85
648,50
649,40
650,100
651,50
652,115
653,160
654,50
655,120
656,75
657,90
658,40
659,40
660,45
661,70
662,40
663,90
664,45
665,35
666,65
667,50
668,95
669,70
670,35
671,105
672,45
673,90
674,35
675,55
676,60
677,55
678,60
679,85
680,60
681,110
682,50
683,85
684,65
685,40
686,70
687,70
688,60
689,85
690,105
691,35
692,140
693,50
694,35
695,60
696,55
697,65
698,55
699,45
700,120
701,80
702,55
703,85
704,85
705,95
706,85
707,45
708,85
709,70
710,70
711,50
712,110
713,70
714,115
715,105
716,45
717,50
718,70
719,100
720,95
721,45
722,45
723,45
724,60
725,45
726,45
727,95
728,90
729,50
730,120
731,105
732,45
733,85
734,55
735,60
736,95
737,40
738,70
739,55
740,70
741,105
742,50
743,55
744,125
745,70
746,85
747,45
748,40
749,70
750,125
751,60
752,85
753,35
754,50
755,60
756,100
757,60
758,35
759,50
760,115
761,80
762,85
763,35
764,70
765,35
766,85
767,80
768,85
769,40
770,45
771,95
772,70
773,125
774,50
775,55
776,50
777,50
778,90
779,105
780,45
781,35
782,105
783,50
784,70
785,115
786,55
787,115
788,110
789,65
790,95
791,115
792,40
793,110
794,50
795,65
796,45
797,50
798,80
799,70
800,95
801,50
802,80
803,50
804,45
805,55
806,110
807,90
808,95
809,125
810,105
811,120
812,95
813,40
814,90
815,100
816,115
817,60
818,70
819,40
820,45
821,60
822,55
823,80
824,50
825,115
826,80
827,130
828,100
829,50
830,85
831,55
832,65
833,70
834,60
835,85
836,45
837,95
838,45
839,105
840,60
841,40
842,90
843,125
844,50
845,60
846,45
847,80
848,140
849,35
850,65
851,100
852,45
853,100
854,70
855,55
856,75
857,45
858,55
859,45
860,60
861,95
862,45
863,50
864,100
865,75
866,110
867,40
868,55
869,40
870,60
871,85
872,115
873,35
874,80
875,60
876,120
877,90
878,85
879,45
880,90
881,65
882,120
883,105
884,150
885,45
886,55
887,95
888,50
889,75
890,105
891,60
892,50
893,50
894,80
895,85
896,40
897,40
898,55
899,40
900,65
901,110
902,55
903,120
904,35
905,55
906,75
907,50
908,55
909,60
910,120
911,115
912,95
913,75
914,50
915,130
916,95
917,85
918,55
919,60
920,55
921,60
922,75
923,65
924,75
925,50
926,65
927,115
928,105
929,40
930,75
931,60
932,60
933,55
934,50
935,70
936,60
937,75
938,125
939,100
940,50
941,40
942,90
943,115
944,125
945,80
946,140
947,60
948,115
949,65
950,145
951,70
952,60
953,50
954,75
955,50
956,60
957,90
958,95
959,55
960,80
961,100
962,105
963,70
964,55
965,65
966,85
967,130
968,95
969,45
970,50
971,60
972,75
973,60
974,45
975,130
976,115
977,90
978,40
979,115
980,120
981,100
982,60
983,50
984,50
985,90
986,120
987,80
988,50
989,95
990,50
991,60
992,55
993,45
994,100
995,75
996,65
997,75
998,35
999,105
1000,45
1001,50
1002,145
1003,40
1004,75
1005,40
1006,25
1007,30
1008,35
1009,55
1010,55
1011,25
1012,45
1013,80
1014,95
1015,140
1016,85
1017,30
1018,40
1019,30
1020,45
1021,65
1022,45
1023,50
1024,30
1025,75
1026,45
1027,35
1028,65
1029,70
1030,60
1031,75
1032,25
1033,60
1034,75
1035,30
1036,50
1037,30
1038,85
1039,30
1040,55
1041,25
1042,30
1043,60
1044,75
1045,110
1046,150
1047,50
1048,85
1049,30
1050,105
1051,70
1052,30
1053,95
1054,70
1055,60
1056,50
1057,40
1058,80
1059,80
1060,60
1061,80
1062,80
1063,30
1064,65
1065,55
1066,30
1067,120
1068,30
1069,30
1070,70
1071,60
1072,40
1073,25
1074,110
1075,60
1076,25
1077,75
1078,40
1079,85
1080,85
1081,30
1082,40
1083,30
1084,60
1085,55
1086,25
1087,25
1088,75
1089,25
1090,75
1091,25
1092,55
1093,55
1094,25
1095,80
1096,30
1097,140
1098,95
1099,25
1100,30
1101,55
1102,70
1103,55
1104,25
1105,45
1106,60
1107,60
1108,75
1109,25
1110,25
1111,25
1112,25
1113,25
1114,25
1115,25
1116,90
1117,60
1118,25
1119,70
1120,60
1121,25
1122,25
1123,30
1124,25
1125,40
1126,25
1127,25
1128,25
1129,80
1130,25
1131,40
1132,30
1133,80
1134,60
1135,60
1136,30
1137,100
1138,25
1139,70
1140,25
1141,60
1142,30
1143,25
1144,55
1145,30
1146,30
1147,45
1148,50
1149,55
1150,30
1151,100
1152,130
1153,30
1154,45
1155,60
1156,95
1157,25
1158,30
1159,65
1160,45
1161,25
1162,25
1163,30
1164,60
1165,25
1166,75
1167,25
1168,30
1169,100
1170,95
1171,30
1172,30
1173,25
1174,30
1175,110
1176,90
1177,120
1178,25
1179,25
1180,30
1181,45
1182,25
1183,30
1184,25
1185,60
1186,45
1187,30
1188,30
1189,25
1190,25
1191,45
1192,105
1193,45
1194,80
1195,90
1196,100
1197,25
1198,25
1199,40
1200,30
1201,25
1202,90
1203,30
1204,30
1205,30
1206,65
1207,25
1208,30
1209,25
1210,30
1211,150
1212,65
1213,65
1214,25
1215,25
1216,75
1217,30
1218,30
1219,70
1220,50
1221,30
1222,40
1223,25
1224,30
1225,45
1226,45
1227,80
1228,30
1229,25
1230,50
1231,120
1232,30
1233,30
1234,85
1235,30
1236,55
1237,115
1238,30
1239,30
1240,45
1241,45
1242,30
1243,25
1244,70
1245,25
1246,30
1247,50
1248,25
1249,65
1250,30
1251,45
1252,30
1253,30
1254,150
1255,30
1256,115
1257,35
1258,30
1259,85
1260,75
1261,30
1262,30
1263,65
1264,30
1265,30
1266,25
1267,30
1268,30
1269,165
1270,30
1271,85
1272,70
1273,30
1274,70
1275,65
1276,50
1277,100
1278,60
1279,90
1280,25
1281,85
1282,30
1283,75
1284,30
1285,25
1286,50
1287,30
1288,30
1289,60
1290,30
1291,30
1292,50
1293,70
1294,30
1295,30
1296,80
1297,100
1298,90
1299,115
1300,30
1301,105
1302,30
1303,45
1304,75
1305,60
1306,75
1307,60
1308,60
1309,30
1310,55
1311,115
1312,30
1313,60
1314,30
1315,30
1316,100
1317,70
1318,65
1319,55
1320,30
1321,30
1322,30
1323,30
1324,50
1325,45
1326,35
1327,50
1328,30
1329,115
1330,55
1331,55
1332,45
1333,65
1334,50
1335,90
1336,30
1337,80
1338,30
1339,70
1340,60
1341,65
1342,75
1343,80
1344,110
1345,30
1346,30
1347,55
1348,125
1349,50
1350,60
1351,75
1352,105
1353,30
1354,45
1355,75
1356,30
1357,30
1358,70
1359,30
1360,30
1361,50
1362,90
1363,75
1364,30
1365,40
1366,65
1367,30
1368,45
1369,30
1370,45
1371,30
1372,30
1373,45
1374,30
1375,110
1376,65
1377,30
1378,35
1379,45
1380,45
1381,65
1382,55
1383,50
1384,70
1385,160
1386,125
1387,40
1388,125
1389,65
1390,25
1391,30
1392,30
1393,30
1394,30
1395,25
1396,30
1397,25
1398,45
1399,45
1400,70
1401,90
1402,30
1403,90
1404,75
1405,25
1406,125
1407,140
1408,60
1409,30
1410,75
1411,50
1412,25
1413,60
1414,70
1415,45
1416,40
1417,85
1418,35
1419,105
1420,55
1421,85
1422,30
1423,75
1424,70
1425,65
1426,55
1427,75
1428,45
1429,30
1430,100
1431,30
1432,30
1433,115
1434,45
1435,50
1436,40
1437,25
1438,90
1439,65
1440,45
1441,30
1442,30
1443,150
1444,95
1445,95
1446,55
1447,30
1448,55
1449,75
1450,35
1451,35
1452,50
1453,40
1454,100
1455,45
1456,70
1457,85
1458,65
1459,30
1460,55
1461,30
1462,50
1463,70
1464,30
1465,60
1466,50
1467,30
1468,30
1469,30
1470,95
1471,75
1472,65
1473,60
1474,60
1475,40
1476,85
1477,30
1478,120
1479,60
1480,95
1481,95
1482,35
1483,45
1484,130
1485,30
1486,100
1487,65
1488,130
1489,50
1490,100
1491,55
1492,75
1493,45
1494,100
1495,75
1496,70
1497,125
1498,105
1499,40
1500,120
1501,100
1502,60
1503,45
1504,100
1505,65
1506,45
1507,40
1508,65
1509,40
1510,70
1511,30
1512,110
1513,40
1514,40
1515,45
1516,100
1517,60
1518,90
1519,85
1520,55
1521,135
1522,40
1523,80
1524,90
1525,90
1526,65
1527,155
1528,75
1529,50
1530,30
1531,125
1532,120
1533,90
1534,45
1535,30
1536,135
1537,130
1538,50
1539,30
1540,30
1541,95
1542,85
1543,35
1544,135
1545,25
1546,30
1547,110
1548,30
1549,45
1550,35
1551,75
1552,35
1553,30
1554,70
1555,70
1556,60
1557,120
1558,80
1559,120
1560,60
1561,85
1562,50
1563,55
1564,50
1565,25
1566,60
1567,60
1568,60
1569,105
1570,100
1571,70
1572,30
1573,90
1574,125
1575,45
1576,70
1577,35
1578,120
1579,65
1580,80
1581,50
1582,35
1583,45
1584,50
1585,55
1586,50
1587,30
1588,85
1589,50
1590,110
1591,50
1592,75
1593,125
1594,30
1595,50
1596,30
1597,50
1598,80
1599,65
1600,30
1601,30
1602,65
1603,30
1604,125
1605,35
1606,50
1607,145
1608,30
1609,90
1610,110
1611,55
1612,40
1613,60
1614,55
1615,60
1616,105
1617,55
1618,130
1619,95
1620,45
1621,125
1622,65
1623,50
1624,145
1625,30
1626,105
1627,125
1628,65
1629,40
1630,45
1631,45
1632,60
1633,35
1634,65
1635,130
1636,140
1637,60
1638,40
1639,55
1640,90
1641,30
1642,50
1643,150
1644,35
1645,100
1646,80
1647,75
1648,70
1649,155
1650,30
1651,70
1652,45
1653,45
1654,40
1655,65
1656,160
1657,45
1658,100
1659,45
1660,60
1661,75
1662,55
1663,60
1664,45
1665,50
1666,55
1667,45
1668,65
1669,80
1670,105
1671,105
1672,75
1673,65
1674,50
1675,60
1676,150
1677,50
1678,150
1679,50
1680,40
1681,80
1682,30
1683,35
1684,65
1685,70
1686,35
1687,45
1688,75
1689,50
1690,40
1691,110
1692,55
1693,85
1694,55
1695,60
1696,135
1697,75
1698,125
1699,55
1700,75
1701,70
1702,55
1703,35
1704,115
1705,25
1706,125
1707,30
1708,35
1709,115
1710,50
1711,50
1712,45
1713,105
1714,30
1715,55
1716,45
1717,90
1718,95
1719,30
1720,40
1721,50
1722,30
1723,115
1724,125
1725,55
1726,35
1727,60
1728,135
1729,120
1730,110
1731,75
1732,50
1733,40
1734,75
1735,90
1736,85
1737,65
1738,85
1739,55
1740,60
1741,60
1742,45
1743,45
1744,40
1745,55
1746,55
1747,105
1748,30
1749,40
1750,120
1751,40
1752,50
1753,70
1754,65
1755,120
1756,80
1757,100
1758,55
1759,50
1760,60
1761,75
1762,55
1763,85
1764,50
1765,40
1766,95
1767,70
1768,35
1769,90
1770,70
1771,100
1772,80
1773,45
1774,40
1775,80
1776,100
1777,45
1778,55
1779,40
1780,55
1781,50
1782,40
1783,50
1784,55
1785,30
1786,80
1787,75
1788,45
1789,55
1790,45
1791,55
1792,55
1793,85
1794,30
1795,70
1796,75
1797,45
1798,105
1799,70
1800,125
1801,35
1802,50
1803,50
1804,45
1805,110
1806,45
1807,75
1808,50
1809,45
1810,30
1811,45
1812,135
1813,75
1814,75
1815,40
1816,50
1817,40
1818,75
1819,45
1820,105
1821,30
1822,70
1823,55
1824,45
1825,60
1826,45
1827,145
1828,120
1829,100
1830,55
1831,45
1832,50
1833,25
1834,45
1835,50
1836,75
1837,95
1838,115
1839,155
1840,135
1841,90
1842,100
1843,150
1844,80
1845,100
1846,35
1847,50
1848,55
1849,70
1850,90
1851,45
1852,40
1853,130
1854,60
1855,95
1856,65
1857,45
1858,30
1859,55
1860,80
1861,140
1862,55
1863,95
1864,35
1865,65
1866,30
1867,35
1868,160
1869,35
1870,45
1871,55
1872,110
1873,90
1874,40
1875,40
1876,140
1877,55
1878,30
1879,50
1880,45
1881,70
1882,70
1883,60
1884,55
1885,45
1886,50
1887,40
1888,40
1889,50
1890,55
1891,80
1892,80
1893,30
1894,40
1895,45
1896,130
1897,65
1898,35
1899,65
1900,90
1901,40
1902,95
1903,120
1904,45
1905,55
1906,35
1907,60
1908,65
1909,120
1910,100
1911,100
1912,130
1913,60
1914,135
1915,50
1916,55
1917,40
1918,40
1919,75
1920,55
1921,105
1922,65
1923,130
1924,40
1925,50
1926,110
1927,50
1928,65
1929,55
1930,45
1931,50
1932,135
1933,40
1934,55
1935,60
