,water_level,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
40,0.4004004,755412.5881,0,194274.5187,0,3209531.946,0,41313.12441,942774.9663,808697.1653,42586.30644,11442.31537,268004.8162,427805.8511,1624814.692,358417.0628,441868.9722,402382.4836,18809848.49
41,0.41041041,776326.9408,0,197792.4066,0,3260698.701,0,42061.21502,959846.5655,822838.0959,43357.4516,11649.51076,272857.7991,434452.9673,1635900.03,364907.2143,448734.597,478482.4517,18956156.11
42,0.42042042,797241.2934,0,201310.2946,0,3311865.455,0,42809.30563,976918.1646,836946.338,44128.59676,11856.70614,277710.782,441100.0836,1646985.367,371397.3659,455600.2217,554582.4198,19102463.72
43,0.43043043,818155.6461,0,204828.1826,0,3363032.209,0,43557.39624,993989.7638,850717.5092,44899.74192,12063.90153,282563.7649,447747.1999,1658070.704,377887.5175,462465.8465,630682.3879,19248771.34
44,0.44044044,839069.9988,0,208346.0705,0,3414198.964,0,44305.48685,1011061.363,864488.6803,45670.88708,12271.09691,287416.7478,454394.3162,1669156.041,384377.669,469331.4712,706782.356,19395078.96
45,0.45045045,859984.3515,0,211863.9585,0,3465365.718,0,45053.57746,1028132.962,878259.8515,46442.03224,12478.2923,292269.7307,461041.4324,1680241.379,390867.8206,476197.0959,782882.324,19541386.57
46,0.46046046,880898.7041,0,215381.8465,0,3516532.472,0,45801.66807,1045204.561,892031.0227,47213.1774,12685.48768,297122.7136,467688.5487,1691326.716,397357.9722,483062.7207,858982.2921,19687694.19
47,0.47047047,901813.0568,0,218899.7344,0,3567699.227,0,46549.75868,1062276.16,905802.1938,47984.32256,12892.68306,301975.6965,474335.665,1702412.053,403848.1237,489928.3454,935082.2602,19834001.81
48,0.48048048,922727.4095,0,222417.6224,0,3618865.981,0,47297.84929,1079347.76,919573.365,48755.46772,13099.87845,306828.6794,480982.7813,1713497.391,410338.2753,496793.9702,1011182.228,19980309.43
49,0.49049049,943641.7622,0,225935.5104,0,3670032.735,0,48045.9399,1096419.359,933344.5362,49526.61288,13307.07383,311681.6623,487629.8975,1724582.728,416828.4269,503659.5949,1087282.196,20126617.04
50,0.500500501,964556.1148,0,229453.3983,0,3721199.49,0,48794.03051,1113490.958,947115.7073,50297.75805,13514.26922,316534.6452,494277.0138,1735668.065,423318.5784,510525.2197,1163382.164,20272924.66
51,0.510510511,985470.4675,0,232971.2863,0,3772132.044,0,49542.12113,1130562.557,960886.8785,51068.90321,13721.4646,321387.6281,500924.1301,1746753.403,429808.73,517390.8444,1239482.132,20419232.28
